Ticker,Sector,Debt to equity,Sales growth 3Years,Average return on equity 3Years,Piotroski score
TATAMOTORS.NS,Automobile and Auto Components,0.62,16.45,27.67,5
TATAPOWER.NS,Power,1.75,15.21,11.88,6
TATASTEEL.NS,Metals & Mining,1.04,-3.6,5.97,6
TATATECH.NS,Information Technology,0.07,13.56,21.67,6
TBOTEK.NS,Consumer Services,0.18,53.19,35.34,6
TCS.NS,Information Technology,0.1,10.01,50.3,4
TECHM.NS,Information Technology,0.07,5.88,13.99,8
TECHNOE.NS,Construction,0,19.35,12.71,7
TEJASNET.NS,Telecommunication,0.89,153.06,5.25,4
THERMAX.NS,Capital Goods,0.35,19.24,13.32,6
TIINDIA.NS,Automobile and Auto Components,0.13,16.07,21.14,5
TIMKEN.NS,Capital Goods,0.01,12.63,18.33,6
TITAGARH.NS,Capital Goods,0.21,36.33,12.41,7
TITAN.NS,Consumer Durables,1.12,28.04,31.81,4
TORNTPHARM.NS,Healthcare,0.42,10.62,23.84,9
TORNTPOWER.NS,Power,0.5,26.94,18.44,7
TRENT.NS,Consumer Services,0.41,56.18,25.86,8
TRIDENT.NS,Textiles,0.35,-0.05,9.09,8
TRITURBINE.NS,Capital Goods,0.03,33.02,28.17,8
TRIVENI.NS,Fast Moving Consumer Goods,0.19,3.75,19.95,4
TTML.NS,Telecommunication,,6.14,,5
TVSMOTOR.NS,Automobile and Auto Components,1.73,21.87,27.31,8
UBL.NS,Fast Moving Consumer Goods,0.14,15.15,9.73,5
UCOBANK.NS,Financial Services,10.39,18.72,7.41,5
ULTRACEMCO.NS,Construction Materials,0.34,13.03,10.36,4
UNIONBANK.NS,Financial Services,11.77,16.69,15.01,6
UNITDSPR.NS,Fast Moving Consumer Goods,0.06,7.51,20.19,8
UNOMINDA.NS,Automobile and Auto Components,0.43,26.37,17.87,4
UPL.NS,Chemicals,0.86,0.29,4.62,8
USHAMART.NS,Capital Goods,0.15,8.93,17.78,4
UTIAMC.NS,Financial Services,0,11.96,15.65,5
VBL.NS,Fast Moving Consumer Goods,0.17,31.38,28.18,6
VEDL.NS,Metals & Mining,1.82,4.84,22.94,8
VGUARD.NS,Consumer Durables,0.06,16.8,14.6,8
VIJAYA.NS,Healthcare,0.4,13.8,18.26,7
VMM.NS,Consumer Services,0.27,24.24,8.53,7
VOLTAS.NS,Consumer Durables,0.14,24.77,7.67,5
VTL.NS,Textiles,0.13,0.56,8.7,8
WAAREEENER.NS,Capital Goods,0.13,71.69,30.81,6
WELCORP.NS,Capital Goods,0.37,34.34,11.54,8
WELSPUNLIV.NS,Textiles,0.69,9.66,12.09,8
WESTLIFE.NS,Consumer Services,2.48,16.48,11.77,5
WHIRLPOOL.NS,Consumer Durables,0.02,8.52,7.39,8
WIPRO.NS,Information Technology,0.23,3.95,15.64,6
WOCKPHARMA.NS,Healthcare,0.69,1.1,-7.58,4
YESBANK.NS,Financial Services,7.45,17.58,3.61,6
ZEEL.NS,Media Entertainment & Publication,0.03,0.44,3.12,9
ZENSARTECH.NS,Information Technology,0.03,7.56,16.33,4
ZENTEC.NS,Capital Goods,0.04,140.78,25.5,4
ZFCVINDIA.NS,Automobile and Auto Components,0.02,14.36,14.91,7
ZYDUSLIFE.NS,Healthcare,0.13,15.43,18.83,6
